name,board_functions_policy,board_structure_policy,board_independence_policy,esg_reporting_scope,csr_sustainability_committee,board_gender_diversity,executive_members_gender_diversity,succession_plan,tax_transparency_policy,sdg_goal_7,sdg_goal_8,sdg_goal_11,sdg_goals_12,sdg_goal_13
Daiwa Securities Group Inc,FALSE,TRUE,TRUE,4.03%,TRUE,28.57%,11.11%,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Bancolombia SA,TRUE,TRUE,TRUE,94.00%,TRUE,28.57%,28.57%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
SCB X PCL,TRUE,TRUE,TRUE,100.00%,TRUE,26.67%,30.77%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Kenanga Investment Bank Bhd,TRUE,TRUE,TRUE,100.00%,TRUE,25.00%,35.29%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Nova Ljubljanska banka dd Ljubljana,FALSE,TRUE,TRUE,100.00%,TRUE,40.00%,16.67%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BAWAG Group AG,TRUE,TRUE,TRUE,100.00%,TRUE,44.44%,0.00%,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
China Zheshang Bank Co Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,13.33%,10.00%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Regions Financial Corp,TRUE,TRUE,TRUE,100.00%,TRUE,35.71%,20.00%,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Commerzbank AG,TRUE,TRUE,TRUE,66.33%,TRUE,47.62%,28.57%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bursa Malaysia Bhd,TRUE,TRUE,TRUE,100.00%,TRUE,40.00%,55.56%,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
ORIX Corp,FALSE,TRUE,TRUE,100.00%,TRUE,18.18%,7.69%,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Banco BBVA Peru SA,TRUE,TRUE,TRUE,100.00%,TRUE,0.00%,20.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Mitsubishi UFJ Financial Group Inc,TRUE,TRUE,TRUE,49.00%,TRUE,25.00%,0.00%,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Federal Bank Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,18.18%,16.67%,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Bread Financial Holdings Inc,TRUE,TRUE,TRUE,100.00%,TRUE,37.50%,33.33%,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
London Stock Exchange Group PLC,FALSE,TRUE,TRUE,100.00%,TRUE,41.67%,33.33%,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Banca Monte dei Paschi di Siena SpA,FALSE,TRUE,TRUE,99.00%,TRUE,50.00%,8.33%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
RHB Bank Bhd,FALSE,TRUE,TRUE,100.00%,TRUE,22.22%,27.78%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bank of Africa SA,TRUE,TRUE,TRUE,31.00%,TRUE,30.77%,0.00%,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
National Bank of Canada,FALSE,TRUE,TRUE,80.00%,TRUE,42.86%,33.33%,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
BlackRock Inc,TRUE,TRUE,TRUE,100.00%,TRUE,29.41%,25.00%,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Swedbank AB,FALSE,TRUE,FALSE,93.74%,TRUE,57.14%,35.29%,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
HDFC Bank Ltd,TRUE,TRUE,FALSE,100.00%,TRUE,27.27%,7.69%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Taiwan Cooperative Financial Holding Co Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,20.00%,70.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Banco Davivienda SA,FALSE,TRUE,FALSE,75.46%,TRUE,28.57%,18.18%,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Absa Group Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,37.50%,23.53%,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
PNC Financial Services Group Inc,TRUE,TRUE,TRUE,100.00%,TRUE,33.33%,28.57%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Toronto-Dominion Bank,FALSE,TRUE,TRUE,60.00%,TRUE,43.75%,30.77%,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Wells Fargo & Co,FALSE,TRUE,TRUE,100.00%,TRUE,38.46%,29.41%,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
